state,year,donations
Johor,2019,41261
Johor,2020,40705
Johor,2021,40409
Johor,2022,42832
Johor,2023,43706
Johor,2024,32509
Kedah,2019,42506
Kedah,2020,18876
Kedah,2021,19946
Kedah,2022,21128
Kedah,2023,21564
Kedah,2024,14909
Kelantan,2019,11583
Kelantan,2020,12757
Kelantan,2021,12095
Kelantan,2022,15060
Kelantan,2023,16716
Kelantan,2024,13574
Kuala Lumpur,2019,198506
Kuala Lumpur,2020,169941
Kuala Lumpur,2021,173967
Kuala Lumpur,2022,202413
Kuala Lumpur,2023,206288
Kuala Lumpur,2024,146005
Melaka,2019,30233
Melaka,2020,27536
Melaka,2021,27956
Melaka,2022,30510
Melaka,2023,28445
Melaka,2024,20688
Negeri Sembilan,2019,18306
Negeri Sembilan,2020,16398
Negeri Sembilan,2021,14935
Negeri Sembilan,2022,15917
Negeri Sembilan,2023,16417
Negeri Sembilan,2024,11891
Pahang,2019,15810
Pahang,2020,22155
Pahang,2021,22828
Pahang,2022,23851
Pahang,2023,22803
Pahang,2024,16957
Penang,2019,43448
Penang,2020,36512
Penang,2021,35211
Penang,2022,38420
Penang,2023,41633
Penang,2024,30421
Perak,2019,41032
Perak,2020,40086
Perak,2021,43151
Perak,2022,46498
Perak,2023,46920
Perak,2024,33129
Sabah,2019,36156
Sabah,2020,34069
Sabah,2021,31210
Sabah,2022,35530
Sabah,2023,39826
Sabah,2024,28749
Sarawak,2019,37567
Sarawak,2020,33960
Sarawak,2021,35783
Sarawak,2022,40129
Sarawak,2023,41593
Sarawak,2024,30094
Selangor,2019,28065
Selangor,2020,29234
Selangor,2021,26094
Selangor,2022,29313
Selangor,2023,30132
Selangor,2024,22694
Terengganu,2019,16304
Terengganu,2020,15361
Terengganu,2021,16180
Terengganu,2022,18226
Terengganu,2023,19360
Terengganu,2024,14544
